iter	Passed	Remaining
0	164	81958
1	189	47072
2	213	35410
3	235	29235
4	257	25480
5	279	23037
6	301	21253
7	322	19857
8	344	18806
9	367	18027
10	390	17353
11	415	16911
12	437	16389
13	461	16022
14	482	15589
15	502	15210
16	524	14889
17	546	14630
18	571	14467
19	593	14252
20	615	14032
21	635	13806
22	658	13657
23	682	13531
24	707	13435
25	729	13291
26	750	13152
27	767	12932
28	792	12863
29	812	12733
30	834	12627
31	860	12581
32	881	12477
33	902	12374
34	927	12320
35	948	12223
36	971	12159
37	993	12078
38	1023	12093
39	1045	12023
40	1066	11934
41	1087	11857
42	1112	11826
43	1138	11798
44	1160	11736
45	1178	11633
46	1200	11570
47	1223	11517
48	1247	11479
49	1271	11447
50	1294	11392
51	1318	11358
52	1340	11309
53	1363	11261
54	1386	11216
55	1409	11178
56	1436	11163
57	1458	11117
58	1481	11076
59	1504	11036
60	1529	11006
61	1552	10970
62	1577	10941
63	1600	10901
64	1622	10855
65	1643	10809
66	1665	10765
67	1687	10720
68	1711	10688
69	1734	10657
70	1747	10558
71	1770	10522
72	1793	10488
73	1817	10463
74	1840	10427
75	1863	10397
76	1887	10369
77	1914	10355
78	1934	10311
79	1957	10279
80	1980	10245
81	2013	10264
82	2037	10236
83	2059	10200
84	2081	10162
85	2104	10133
86	2133	10127
87	2155	10093
88	2169	10017
89	2193	9990
90	2216	9963
91	2242	9947
92	2264	9909
93	2284	9865
94	2310	9850
95	2334	9824
96	2358	9798
97	2380	9765
98	2405	9744
99	2429	9718
100	2453	9691
101	2477	9665
102	2498	9631
103	2523	9610
104	2547	9583
105	2570	9554
106	2592	9522
107	2600	9437
108	2615	9383
109	2637	9352
110	2656	9311
111	2679	9281
112	2702	9254
113	2725	9228
114	2746	9196
115	2771	9175
116	2796	9153
117	2819	9128
118	2831	9065
119	2853	9035
120	2877	9013
121	2894	8969
122	2921	8955
123	2934	8897
124	2956	8869
125	2978	8839
126	3005	8828
127	3027	8799
128	3052	8779
129	3076	8754
130	3104	8744
131	3128	8722
132	3154	8703
133	3170	8660
134	3192	8632
135	3220	8618
136	3242	8591
137	3260	8551
138	3284	8531
139	3307	8505
140	3332	8486
141	3356	8463
142	3380	8438
143	3404	8415
144	3425	8386
145	3450	8365
146	3472	8339
147	3499	8323
148	3520	8294
149	3541	8264
150	3566	8243
151	3587	8213
152	3609	8185
153	3626	8148
154	3638	8099
155	3665	8082
156	3687	8056
157	3711	8032
158	3723	7985
159	3746	7960
160	3768	7935
161	3796	7920
162	3818	7894
163	3840	7868
164	3858	7834
165	3881	7809
166	3904	7785
167	3927	7761
168	3952	7741
169	3978	7722
170	4001	7698
171	4025	7677
172	4048	7652
173	4072	7630
174	4098	7611
175	4127	7597
176	4149	7572
177	4172	7547
178	4193	7520
179	4217	7498
180	4244	7481
181	4263	7449
182	4285	7423
183	4309	7401
184	4334	7379
185	4357	7356
186	4381	7334
187	4408	7316
188	4431	7291
189	4454	7267
190	4466	7226
191	4490	7203
192	4513	7179
193	4539	7160
194	4564	7138
195	4586	7114
196	4610	7090
197	4631	7064
198	4656	7042
199	4679	7019
200	4702	6995
201	4725	6971
202	4749	6949
203	4774	6928
204	4798	6904
205	4821	6880
206	4844	6857
207	4866	6831
208	4890	6809
209	4913	6785
210	4936	6761
211	4958	6735
212	4984	6716
213	5008	6693
214	5030	6668
215	5052	6643
216	5078	6622
217	5106	6605
218	5133	6586
219	5155	6561
220	5179	6538
221	5202	6514
222	5227	6493
223	5249	6468
224	5273	6445
225	5297	6422
226	5322	6400
227	5345	6377
228	5369	6353
229	5394	6332
230	5419	6311
231	5445	6290
232	5468	6266
233	5491	6242
234	5514	6218
235	5538	6195
236	5562	6172
237	5588	6151
238	5611	6128
239	5633	6103
240	5657	6079
241	5681	6057
242	5703	6032
243	5727	6009
244	5748	5983
245	5773	5960
246	5795	5936
247	5817	5911
248	5842	5889
249	5866	5866
250	5893	5846
251	5916	5822
252	5939	5798
253	5961	5774
254	5989	5754
255	6012	5731
256	6037	5709
257	6061	5685
258	6087	5664
259	6114	5643
260	6139	5622
261	6163	5598
262	6189	5577
263	6210	5551
264	6236	5530
265	6259	5506
266	6282	5482
267	6305	5458
268	6330	5436
269	6355	5414
270	6379	5390
271	6403	5368
272	6427	5344
273	6450	5320
274	6480	5302
275	6504	5278
276	6526	5254
277	6548	5229
278	6573	5206
279	6595	5181
280	6619	5159
281	6643	5135
282	6667	5112
283	6691	5089
284	6715	5066
285	6741	5044
286	6764	5020
287	6792	4999
288	6815	4975
289	6838	4952
290	6864	4930
291	6889	4907
292	6915	4885
293	6938	4861
294	6962	4838
295	6985	4814
296	7010	4791
297	7033	4767
298	7058	4744
299	7086	4724
300	7110	4700
301	7145	4684
302	7168	4661
303	7193	4637
304	7218	4615
305	7243	4592
306	7266	4568
307	7290	4544
308	7314	4521
309	7340	4498
310	7365	4476
311	7390	4453
312	7412	4428
313	7436	4404
314	7460	4381
315	7483	4357
316	7509	4334
317	7532	4311
318	7556	4287
319	7580	4264
320	7603	4239
321	7629	4217
322	7655	4194
323	7680	4172
324	7702	4147
325	7726	4123
326	7749	4099
327	7780	4079
328	7805	4057
329	7828	4032
330	7853	4009
331	7878	3986
332	7900	3962
333	7924	3938
334	7951	3916
335	7974	3892
336	8000	3869
337	8022	3845
338	8047	3821
339	8075	3800
340	8102	3778
341	8127	3754
342	8150	3730
343	8173	3706
344	8198	3683
345	8230	3663
346	8256	3640
347	8281	3617
348	8304	3593
349	8329	3569
350	8352	3545
351	8378	3522
352	8399	3498
353	8421	3473
354	8448	3450
355	8473	3427
356	8496	3403
357	8518	3378
358	8544	3355
359	8567	3331
360	8590	3307
361	8615	3284
362	8638	3260
363	8666	3238
364	8689	3213
365	8713	3190
366	8735	3165
367	8759	3142
368	8783	3118
369	8806	3094
370	8831	3070
371	8854	3046
372	8881	3023
373	8904	2999
374	8928	2976
375	8956	2953
376	8981	2930
377	9005	2906
378	9029	2882
379	9055	2859
380	9081	2836
381	9106	2812
382	9129	2788
383	9151	2764
384	9174	2740
385	9199	2717
386	9222	2692
387	9247	2669
388	9270	2645
389	9294	2621
390	9320	2598
391	9346	2574
392	9370	2551
393	9396	2527
394	9421	2504
395	9446	2480
396	9470	2457
397	9494	2433
398	9516	2409
399	9544	2386
400	9568	2362
401	9591	2338
402	9614	2314
403	9637	2290
404	9662	2266
405	9685	2242
406	9709	2218
407	9735	2195
408	9760	2171
409	9785	2147
410	9809	2124
411	9837	2101
412	9861	2077
413	9887	2053
414	9912	2030
415	9937	2006
416	9964	1983
417	9991	1960
418	10016	1936
419	10042	1912
420	10068	1889
421	10093	1865
422	10117	1841
423	10144	1818
424	10169	1794
425	10192	1770
426	10217	1746
427	10241	1722
428	10264	1698
429	10289	1674
430	10316	1651
431	10350	1629
432	10373	1605
433	10398	1581
434	10423	1557
435	10450	1533
436	10472	1509
437	10497	1485
438	10521	1461
439	10547	1438
440	10569	1414
441	10596	1390
442	10619	1366
443	10643	1342
444	10669	1318
445	10690	1294
446	10712	1270
447	10739	1246
448	10766	1222
449	10789	1198
450	10812	1174
451	10836	1150
452	10865	1127
453	10889	1103
454	10913	1079
455	10937	1055
456	10967	1031
457	10993	1008
458	11018	984
459	11047	960
460	11072	936
461	11097	912
462	11121	888
463	11145	864
464	11168	840
465	11195	816
466	11217	792
467	11242	768
468	11266	744
469	11290	720
470	11314	696
471	11341	672
472	11365	648
473	11387	624
474	11411	600
475	11436	576
476	11459	552
477	11485	528
478	11508	504
479	11531	480
480	11557	456
481	11580	432
482	11604	408
483	11630	384
484	11656	360
485	11681	336
486	11705	312
487	11728	288
488	11754	264
489	11780	240
490	11803	216
491	11826	192
492	11850	168
493	11874	144
494	11896	120
495	11922	96
496	11948	72
497	11972	48
498	11997	24
499	12022	0
